1:27 | Vincent Führ - GYM - EE20a: GROSS GORE WILL NEVER BE STOPPED NEVER
1:27 | Sofia H: Glad to see you stream grossie 
1:27 | Endyium2310: THE CARDIFF CREEPER IS BACK Pog
1:28 | Tevrat Ça: love from turkey
1:28 | Vincenzo Tornincasa: You are looking good today man
1:28 | TommyTaylor__ Poker: WELCOME ALI!! LETS GO 
1:28 | BotRK DD: grossie pog
1:28 | Karl Sai: HEY GROSSIE!
1:29 | Benzo: Afternoon Scammer  
1:29 | y2jcy: yooo
1:29 | Tsanislav Gatev: Good job Grossie!
1:29 | Sean: we got you boy
1:30 | Mang0 Gamin: luv u grossie goree
1:30 | Tomás Martins: LET'S GO
1:31 | georgiesucks: MR GORE
1:31 | Ahmed Hany: Gross 
1:31 | Laszlo De Maeyer: GROSSSSSSSSSS
1:31 | Ric B: 200 viewers? who hosted KEKW
1:32 | (New member) Marius Cristian: TTS
1:34 | Ob1star: Pog
1:34 | WannabeMadlife: GROSSIEEEE WE WILL ALWAYS SUPPORT U ANYWHERE
1:34 | HUSSEIN aziz: pog pog
1:35 | XoroMigue: LOVE YOU GROSSIE
1:35 | Original James: Sadge
1:35 | z0r: 
1:35 | Doowyah: Bruvkek
1:35 | Itachi: Hi
1:36 | Paolo Cappelloni: oi brah
1:36 | Mike Litoris: po gpo gpog
1:37 | Laszlo De Maeyer: welcome to YT 
1:37 | Alexander Gudym: Fuck Twitch!
1:39 | Micolho: live? PPogU
1:40 | Hourior: yo
1:40 | ixplain: Grossie I love you still so much even if you are off twitch now
1:40 | James Purdy: 300 VIEWERS KEKW
1:40 | Ross Denoon: :oops:
1:40 | peepoHungry: OMEGALUL GORE
1:40 | Adam Ballard: hey grossie
1:41 | Hazza: lets goooooooo
1:41 | TommyTaylor__ Poker: Lets go ALI!
1:42 | Josh Cooper: Grossie 
1:42 | (Moderator, New member) Mushy: 
1:42 |  ~ ~: 
1:43 |  ~ ~: 
1:43 | nolan Ashworth: Hey Ali glad to see you streaming
1:43 | TheOttoisme: PogU 
1:43 | Laszlo De Maeyer: (echo echo )
1:43 | Vale T: ECHO
1:43 | Lou Four: #freegrossie
1:43 | LondonDuck4: SLANDER SLANDER SLANDER
1:44 | Scribble Scrub: Sadge
1:44 |  ~ ~: 
1:44 | Herculete: Echo
1:44 | Liam Day: Youtube > Twitch 
1:44 | Aravin Vadivelu: its echo
1:44 | Almighty CHITO: echo
1:44 | Tsanislav Gatev: You’re good you tuber.
1:45 | Pog Champ: Pog
1:45 | ReactantJordan: Ill be a member when i can 
1:45 | Jaideep Gill: gross gore scam peepoRiot
1:45 | JAGUAR XD: BRUV
1:45 | Zuuber ?: WUTFACE
1:45 | MilkandBread: @grossgore so what's happening with twitch bra?
1:46 | TeamSoloKappa: WAYTOODANK
1:46 | Matteo Leppeni: We all love u grossie
1:46 | Alexander Gudym: Fuck Twitch!
1:47 | Mang0 Gamin: sub kekw
1:47 | Tom Svensson: Echo bro
1:47 | biggyBeatLoL: echo
1:47 | UnknownGamer: Bruh
1:47 | Terence Molloy: 
1:47 | Kensblade: Ali 
1:47 | Gyro: love you alit
1:47 | Hampus 44: nice mic grossie
1:48 | PanTack: mic echoing 
1:48 | Panalis: MICROPHONE ????
1:48 | Máté Sántha: Hey grossie
1:48 | Henry Hoover: ECHO ECHO
1:48 | Ricky ST: AYYYYYY YOUR HERE 
1:49 | Micolho: WAYTOODANK ECHO
1:49 | Il-Hess: ECHO GROSSIE
1:49 | Aravin Vadivelu: echo
1:50 | Bylic: yoooooooooooooooo
1:50 | TaleX: heyy grossie
1:50 | Sofia H: 
1:50 | Harox: mic echo KEKW
1:50 | Joshua Presinszky: Echo echo
1:50 | Zype: Pog
1:51 | Fabricio Olivera: HEY GROSSIE
1:51 | SeiuWatches: you got a weird echo 
1:51 | Laqein: hi
1:51 | hits: Pog
1:52 | Aravin Vadivelu: echo
1:52 | Naminé: AAAAAAAAAAH
1:52 | iMirai: two mics on Ali!
1:52 | Tom: 
1:52 | ääpö: ECHO
1:52 | matic hoevar: what happened?
1:53 | roric1126: echo
1:53 | Spac3: ECHO
1:53 | Oliver Leigh Nielsen: echo
1:53 | Joshua Presinszky: Two mics active lol
1:53 | Nay'Arts: pog
1:53 | Caetano Yamamoto: :thanksdoc::thanksdoc::thanksdoc::thanksdoc:
1:54 | peepoHungry: OMEGALUL KE
1:54 | Ramones Brandon: Pog
